show,ethnicity,actors,theater,type,nonprofit
Holler If Ya Hear Me,Caucasian,2,Palace Theatre,Musical,0
Holler If Ya Hear Me,African American,25,Palace Theatre,Musical,0
Holler If Ya Hear Me,Latino,0,Palace Theatre,Musical,0
Holler If Ya Hear Me,Asian American,0,Palace Theatre,Musical,0
Holler If Ya Hear Me,Other,0,Palace Theatre,Musical,0
On The Town,Caucasian,27,Lyric Theatre ,Musical,0
On The Town,African American,3,Lyric Theatre ,Musical,0
On The Town,Latino,0,Lyric Theatre ,Musical,0
On The Town,Asian American,1,Lyric Theatre ,Musical,0
On The Town,Other,0,Lyric Theatre ,Musical,0
Side Show,Caucasian,25,St. James Theatre,Musical,0
Side Show,African American,3,St. James Theatre,Musical,0
Side Show,Latino,1,St. James Theatre,Musical,0
Side Show,Asian American,1,St. James Theatre,Musical,0
Side Show,Other,0,St. James Theatre,Musical,0
Honeymoon In Vegas,Caucasian,19,Nederlander Theatre ,Musical,0
Honeymoon In Vegas,African American,1,Nederlander Theatre ,Musical,0
Honeymoon In Vegas,Latino,1,Nederlander Theatre ,Musical,0
Honeymoon In Vegas,Asian American,3,Nederlander Theatre ,Musical,0
Honeymoon In Vegas,Other,0,Nederlander Theatre ,Musical,0
Doctor Zhivago,Caucasian,29,The Broadway Theatre,Musical,0
Doctor Zhivago,African American,0,The Broadway Theatre,Musical,0
Doctor Zhivago,Latino,0,The Broadway Theatre,Musical,0
Doctor Zhivago,Asian American,3,The Broadway Theatre,Musical,0
Doctor Zhivago,Other,0,The Broadway Theatre,Musical,0
The Visit,Caucasian,21,Lyceum Theatre (Lincoln Center),Musical,0
The Visit,African American,0,Lyceum Theatre (Lincoln Center),Musical,0
The Visit,Latino,1,Lyceum Theatre (Lincoln Center),Musical,0
The Visit,Asian American,0,Lyceum Theatre (Lincoln Center),Musical,0
The Visit,Other,1,Lyceum Theatre (Lincoln Center),Musical,0
It Shoulda Been You,Caucasian,17,Brooks Atkinson Theater,Musical,0
