theater,year,ethnicity,actors
Atlantic Theater Company,2014-2015,Caucasian,32
Atlantic Theater Company,2014-2015,African American,2
Atlantic Theater Company,2014-2015,Latino,0
Atlantic Theater Company,2014-2015,Asian American,4
Atlantic Theater Company,2014-2015,Other,1
Classic Stage Company,2014-2015,Caucasian,46
Classic Stage Company,2014-2015,African American,2
Classic Stage Company,2014-2015,Latino,1
Classic Stage Company,2014-2015,Asian American,1
Classic Stage Company,2014-2015,Other,2
Lincoln Center,2014-2015,Caucasian,31
Lincoln Center,2014-2015,African American,10
Lincoln Center,2014-2015,Latino,0
Lincoln Center,2014-2015,Asian American,72
Lincoln Center,2014-2015,Other,2
MCC Theater,2014-2015,Caucasian,21
MCC Theater,2014-2015,African American,0
MCC Theater,2014-2015,Latino,0
MCC Theater,2014-2015,Asian American,0
MCC Theater,2014-2015,Other,0
MTC,2014-2015,Caucasian,34
MTC,2014-2015,African American,7
MTC,2014-2015,Latino,0
MTC,2014-2015,Asian American,6
MTC,2014-2015,Other,0
New York Theatre Workshop,2014-2015,Caucasian,8
New York Theatre Workshop,2014-2015,African American,3
New York Theatre Workshop,2014-2015,Latino,2
New York Theatre Workshop,2014-2015,Asian American,2
New York Theatre Workshop,2014-2015,Other,1
Playwrights Horizons,2014-2015,Caucasian,24
Playwrights Horizons,2014-2015,African American,9
Playwrights Horizons,2014-2015,Latino,4
Playwrights Horizons,2014-2015,Asian American,2
Playwrights Horizons,2014-2015,Other,0
Primary Stages,2014-2015,Caucasian,9
Primary Stages,2014-2015,African American,7
Primary Stages,2014-2015,Latino,0
Primary Stages,2014-2015,Asian American,0
Primary Stages,2014-2015,Other,0
Public Theatre,2014-2015,Caucasian,37
Public Theatre,2014-2015,African American,50
Public Theatre,2014-2015,Latino,8
Public Theatre,2014-2015,Asian American,3
Public Theatre,2014-2015,Other,0
Roundabout Theatre,2014-2015,Caucasian,70
Roundabout Theatre,2014-2015,African American,9
Roundabout Theatre,2014-2015,Latino,1
Roundabout Theatre,2014-2015,Asian American,8
Roundabout Theatre,2014-2015,Other,0
Second Stage,2014-2015,Caucasian,15
Second Stage,2014-2015,African American,11
Second Stage,2014-2015,Latino,5
Second Stage,2014-2015,Asian American,1
Second Stage,2014-2015,Other,0
Signature Theatre,2014-2015,Caucasian,37
Signature Theatre,2014-2015,African American,29
Signature Theatre,2014-2015,Latino,0
Signature Theatre,2014-2015,Asian American,1
Signature Theatre,2014-2015,Other,0
The New Group,2014-2015,Caucasian,11
The New Group,2014-2015,African American,2
The New Group,2014-2015,Latino,0
The New Group,2014-2015,Asian American,3
The New Group,2014-2015,Other,0
Theatre for a New Audience,2014-2015,Caucasian,23
Theatre for a New Audience,2014-2015,African American,14
Theatre for a New Audience,2014-2015,Latino,2
Theatre for a New Audience,2014-2015,Asian American,2
Theatre for a New Audience,2014-2015,Other,0
Vineyard Theatre,2014-2015,Caucasian,15
Vineyard Theatre,2014-2015,African American,4
Vineyard Theatre,2014-2015,Latino,1
Vineyard Theatre,2014-2015,Asian American,4
Vineyard Theatre,2014-2015,Other,0
York Theatre Company,2014-2015,Caucasian,7
York Theatre Company,2014-2015,African American,1
York Theatre Company,2014-2015,Latino,0
York Theatre Company,2014-2015,Asian American,0
York Theatre Company,2014-2015,Other,0
