year,show,ethnicity,actors,theater,type,nonprofit
2012-2013,Chaplin,CAUCASIAN,21,Ethel Barrymore Theatre,Musical,
2012-2013,Chaplin,AFRICAN AMERICAN,3,Ethel Barrymore Theatre,Musical,
2012-2013,Chaplin,LATINO,2,Ethel Barrymore Theatre,Musical,
2012-2013,Chaplin,ASIAN AMERICAN,0,Ethel Barrymore Theatre,Musical,
2012-2013,Chaplin,OTHER,0,Ethel Barrymore Theatre,Musical,
2012-2013,Fela,CAUCASIAN,0,Al Hirschfeld Theatre,Musical,
2012-2013,Fela,AFRICAN AMERICAN,15,Al Hirschfeld Theatre,Musical,
2012-2013,Fela,LATINO,0,Al Hirschfeld Theatre,Musical,
2012-2013,Fela,ASIAN AMERICAN,0,Al Hirschfeld Theatre,Musical,
2012-2013,Fela,OTHER,0,Al Hirschfeld Theatre,Musical,
2012-2013,A Christmas Story,CAUCASIAN,28,Lunt Fontanne Theatre,Musical,
2012-2013,A Christmas Story,AFRICAN AMERICAN,1,Lunt Fontanne Theatre,Musical,
2012-2013,A Christmas Story,LATINO,3,Lunt Fontanne Theatre,Musical,
2012-2013,A Christmas Story,ASIAN AMERICAN,2,Lunt Fontanne Theatre,Musical,
2012-2013,A Christmas Story,OTHER,0,Lunt Fontanne Theatre,Musical,
2012-2013,Scandalous,CAUCASIAN,19,Neil Simon Theatre,Musical,
2012-2013,Scandalous,AFRICAN AMERICAN,3,Neil Simon Theatre,Musical,
2012-2013,Scandalous,LATINO,1,Neil Simon Theatre,Musical,
2012-2013,Scandalous,ASIAN AMERICAN,0,Neil Simon Theatre,Musical,
2012-2013,Scandalous,OTHER,0,Neil Simon Theatre,Musical,
2012-2013,Bring It On,CAUCASIAN,26,St. James Theatre,Musical,
2012-2013,Bring It On,AFRICAN AMERICAN,10,St. James Theatre,Musical,
2012-2013,Bring It On,LATINO,2,St. James Theatre,Musical,
2012-2013,Bring It On,ASIAN AMERICAN,1,St. James Theatre,Musical,
2012-2013,Bring It On,OTHER,0,St. James Theatre,Musical,
2012-2013,The Mystery of Edwin Drood,CAUCASIAN,23,Studio 54,Musical,
2012-2013,The Mystery of Edwin Drood,AFRICAN AMERICAN,0,Studio 54,Musical,
2012-2013,The Mystery of Edwin Drood,LATINO,1,Studio 54,Musical,
