Year,show,Ethnicity,actors,theater,type,nonprofit
2012-2013,Chaplin,Caucasian,21,Ethel Barrymore Theatre,Musical,0
2012-2013,Chaplin,African American,3,Ethel Barrymore Theatre,Musical,0
2012-2013,Chaplin,Latino,2,Ethel Barrymore Theatre,Musical,0
2012-2013,Chaplin,Asian American,0,Ethel Barrymore Theatre,Musical,0
2012-2013,Chaplin,Other,0,Ethel Barrymore Theatre,Musical,0
2012-2013,Fela,Caucasian,0,Al Hirschfeld Theatre,Musical,0
2012-2013,Fela,African American,15,Al Hirschfeld Theatre,Musical,0
2012-2013,Fela,Latino,0,Al Hirschfeld Theatre,Musical,0
2012-2013,Fela,Asian American,0,Al Hirschfeld Theatre,Musical,0
2012-2013,Fela,Other,0,Al Hirschfeld Theatre,Musical,0
2012-2013,A Christmas Story,Caucasian,28,Lunt Fontanne Theatre,Musical,0
2012-2013,A Christmas Story,African American,1,Lunt Fontanne Theatre,Musical,0
2012-2013,A Christmas Story,Latino,3,Lunt Fontanne Theatre,Musical,0
2012-2013,A Christmas Story,Asian American,2,Lunt Fontanne Theatre,Musical,0
2012-2013,A Christmas Story,Other,0,Lunt Fontanne Theatre,Musical,0
2012-2013,Scandalous,Caucasian,19,Neil Simon Theatre,Musical,0
2012-2013,Scandalous,African American,3,Neil Simon Theatre,Musical,0
2012-2013,Scandalous,Latino,1,Neil Simon Theatre,Musical,0
2012-2013,Scandalous,Asian American,0,Neil Simon Theatre,Musical,0
2012-2013,Scandalous,Other,0,Neil Simon Theatre,Musical,0
2012-2013,Bring It On,Caucasian,26,St. James Theatre,Musical,0
2012-2013,Bring It On,African American,10,St. James Theatre,Musical,0
2012-2013,Bring It On,Latino,2,St. James Theatre,Musical,0
2012-2013,Bring It On,Asian American,1,St. James Theatre,Musical,0
2012-2013,Bring It On,Other,0,St. James Theatre,Musical,0
2012-2013,The Mystery of Edwin Drood,Caucasian,23,Studio 54,Musical,0
2012-2013,The Mystery of Edwin Drood,African American,0,Studio 54,Musical,0
2012-2013,The Mystery of Edwin Drood,Latino,1,Studio 54,Musical,0
2012-2013,The Mystery of Edwin Drood,Asian American,0,Studio 54,Musical,0
2012-2013,The Mystery of Edwin Drood,Other,0,Studio 54,Musical,0
2012-2013,Annie,Caucasian,39,Palace Theatre,Musical,0
2012-2013,Annie,African American,3,Palace Theatre,Musical,0
2012-2013,Annie,Latino,2,Palace Theatre,Musical,0
2012-2013,Annie,Asian American,3,Palace Theatre,Musical,0
2012-2013,Annie,Other,0,Palace Theatre,Musical,0
2012-2013,Hands on a Hardbody,Caucasian,18,Brooks Atkinson Theater,Musical,0
2012-2013,Hands on a Hardbody,African American,2,Brooks Atkinson Theater,Musical,0
2012-2013,Hands on a Hardbody,Latino,2,Brooks Atkinson Theater,Musical,0
2012-2013,Hands on a Hardbody,Asian American,1,Brooks Atkinson Theater,Musical,0
2012-2013,Hands on a Hardbody,Other,0,Brooks Atkinson Theater,Musical,0
2012-2013,Elf,Caucasian,24,Al Hirschfeld Theatre,Musical,0
2012-2013,Elf,African American,3,Al Hirschfeld Theatre,Musical,0
2012-2013,Elf,Latino,0,Al Hirschfeld Theatre,Musical,0
2012-2013,Elf,Asian American,1,Al Hirschfeld Theatre,Musical,0
2012-2013,Elf,Other,0,Al Hirschfeld Theatre,Musical,0
2012-2013,Kinky Boots,Caucasian,38,Al Hirschfeld Theatre,Musical,0
2012-2013,Kinky Boots,African American,10,Al Hirschfeld Theatre,Musical,0
2012-2013,Kinky Boots,Latino,1,Al Hirschfeld Theatre,Musical,0
2012-2013,Kinky Boots,Asian American,1,Al Hirschfeld Theatre,Musical,0
2012-2013,Kinky Boots,Other,0,Al Hirschfeld Theatre,Musical,0
2012-2013,Matilda,Caucasian,30,Shubert Theatre,Musical,0
2012-2013,Matilda,African American,4,Shubert Theatre,Musical,0
2012-2013,Matilda,Latino,1,Shubert Theatre,Musical,0
2012-2013,Matilda,Asian American,2,Shubert Theatre,Musical,0
2012-2013,Matilda,Other,0,Shubert Theatre,Musical,0
2012-2013,Cinderella,Caucasian,24,The Broadway Theatre,Musical,0
2012-2013,Cinderella,African American,3,The Broadway Theatre,Musical,0
2012-2013,Cinderella,Latino,0,The Broadway Theatre,Musical,0
2012-2013,Cinderella,Asian American,2,The Broadway Theatre,Musical,0
2012-2013,Cinderella,Other,0,The Broadway Theatre,Musical,0
2012-2013,Jekyll and Hyde,Caucasian,19,Marquis Theatre,Musical,0
2012-2013,Jekyll and Hyde,African American,4,Marquis Theatre,Musical,0
2012-2013,Jekyll and Hyde,Latino,0,Marquis Theatre,Musical,0
2012-2013,Jekyll and Hyde,Asian American,0,Marquis Theatre,Musical,0
2012-2013,Jekyll and Hyde,Other,0,Marquis Theatre,Musical,0
2012-2013,Motown,Caucasian,7,Lunt Fontanne Theatre,Musical,0
2012-2013,Motown,African American,35,Lunt Fontanne Theatre,Musical,0
2012-2013,Motown,Latino,0,Lunt Fontanne Theatre,Musical,0
2012-2013,Motown,Asian American,0,Lunt Fontanne Theatre,Musical,0
2012-2013,Motown,Other,0,Lunt Fontanne Theatre,Musical,0
2012-2013,Pippin,Caucasian,22,Music Box Theatre,Musical,0
2012-2013,Pippin,African American,3,Music Box Theatre,Musical,0
2012-2013,Pippin,Latino,0,Music Box Theatre,Musical,0
2012-2013,Pippin,Asian American,0,Music Box Theatre,Musical,0
2012-2013,Pippin,Other,0,Music Box Theatre,Musical,0
2012-2013,Cyrano de Bergerac,Caucasian,17,American Airlines Theatre,Play,0
2012-2013,Cyrano de Bergerac,African American,1,American Airlines Theatre,Play,0
2012-2013,Cyrano de Bergerac,Latino,0,American Airlines Theatre,Play,0
2012-2013,Cyrano de Bergerac,Asian American,0,American Airlines Theatre,Play,0
2012-2013,Cyrano de Bergerac,Other,0,American Airlines Theatre,Play,0
2012-2013,An Enemy of the People by Henrik,Caucasian,14,Samuel J. Friedman Theater,Play,0
2012-2013,An Enemy of the People by Henrik,African American,0,Samuel J. Friedman Theater,Play,0
2012-2013,An Enemy of the People by Henrik,Latino,0,Samuel J. Friedman Theater,Play,0
2012-2013,An Enemy of the People by Henrik,Asian American,0,Samuel J. Friedman Theater,Play,0
2012-2013,An Enemy of the People by Henrik,Other,0,Samuel J. Friedman Theater,Play,0
2012-2013,The Performers,Caucasian,8,Longacre Theatre,Play,0
2012-2013,The Performers,African American,1,Longacre Theatre,Play,0
2012-2013,The Performers,Latino,0,Longacre Theatre,Play,0
2012-2013,The Performers,Asian American,0,Longacre Theatre,Play,0
2012-2013,The Performers,Other,1,Longacre Theatre,Play,0
2012-2013,Glengarry Glen Ross,Caucasian,8,Gerald Schoenfeld Theatre,Play,0
2012-2013,Glengarry Glen Ross,African American,0,Gerald Schoenfeld Theatre,Play,0
2012-2013,Glengarry Glen Ross,Latino,1,Gerald Schoenfeld Theatre,Play,0
2012-2013,Glengarry Glen Ross,Asian American,0,Gerald Schoenfeld Theatre,Play,0
2012-2013,Glengarry Glen Ross,Other,0,Gerald Schoenfeld Theatre,Play,0
2012-2013,Cat on a Hot Tin Roof,Caucasian,18,Richard Rodgers Theatre,Play,0
2012-2013,Cat on a Hot Tin Roof,African American,4,Richard Rodgers Theatre,Play,0
2012-2013,Cat on a Hot Tin Roof,Latino,0,Richard Rodgers Theatre,Play,0
2012-2013,Cat on a Hot Tin Roof,Asian American,0,Richard Rodgers Theatre,Play,0
2012-2013,Cat on a Hot Tin Roof,Other,0,Richard Rodgers Theatre,Play,0
2012-2013,Golden Boy,Caucasian,19,Belasco Theatre (Lincoln Center),Play,0
