theater,year,ethnicity,actors
Atlantic Theater Company,2006-2007,CAUCASIAN,36
Atlantic Theater Company,2006-2007,AFRICAN AMERICAN,2
Atlantic Theater Company,2006-2007,LATINO,0
Atlantic Theater Company,2006-2007,ASIAN AMERICAN,0
Atlantic Theater Company,2006-2007,OTHER,0
Atlantic Theater Company,2007-2008,CAUCASIAN,35
Atlantic Theater Company,2007-2008,AFRICAN AMERICAN,0
Atlantic Theater Company,2007-2008,LATINO,0
Atlantic Theater Company,2007-2008,ASIAN AMERICAN,0
Atlantic Theater Company,2007-2008,OTHER,0
Atlantic Theater Company,2008-2009,CAUCASIAN,37
Atlantic Theater Company,2008-2009,AFRICAN AMERICAN,2
Atlantic Theater Company,2008-2009,LATINO,2
Atlantic Theater Company,2008-2009,ASIAN AMERICAN,0
Atlantic Theater Company,2008-2009,OTHER,0
Atlantic Theater Company,2009-2010,CAUCASIAN,28
Atlantic Theater Company,2009-2010,AFRICAN AMERICAN,0
Atlantic Theater Company,2009-2010,LATINO,0
Atlantic Theater Company,2009-2010,ASIAN AMERICAN,0
Atlantic Theater Company,2009-2010,OTHER,0
Atlantic Theater Company,2010-2011,CAUCASIAN,69
Atlantic Theater Company,2010-2011,AFRICAN AMERICAN,8
Atlantic Theater Company,2010-2011,LATINO,0
Atlantic Theater Company,2010-2011,ASIAN AMERICAN,3
Atlantic Theater Company,2010-2011,OTHER,0
Atlantic Theater Company,2011-2012,CAUCASIAN,31
Atlantic Theater Company,2011-2012,AFRICAN AMERICAN,6
Atlantic Theater Company,2011-2012,LATINO,5
Atlantic Theater Company,2011-2012,ASIAN AMERICAN,2
Atlantic Theater Company,2011-2012,OTHER,0
Atlantic Theater Company,2012-2013,CAUCASIAN,33
Atlantic Theater Company,2012-2013,AFRICAN AMERICAN,6
Atlantic Theater Company,2012-2013,LATINO,1
Atlantic Theater Company,2012-2013,ASIAN AMERICAN,4
Atlantic Theater Company,2012-2013,OTHER,0
Atlantic Theater Company,2013-2014,CAUCASIAN,31
Atlantic Theater Company,2013-2014,AFRICAN AMERICAN,9
Atlantic Theater Company,2013-2014,LATINO,3
Atlantic Theater Company,2013-2014,ASIAN AMERICAN,1
Atlantic Theater Company,2013-2014,OTHER,1
Atlantic Theater Company,2014-2015,CAUCASIAN,32
Atlantic Theater Company,2014-2015,AFRICAN AMERICAN,2
Atlantic Theater Company,2014-2015,LATINO,0
Atlantic Theater Company,2014-2015,ASIAN AMERICAN,4
Atlantic Theater Company,2014-2015,OTHER,1
Classic Stage Company,2006-2007,CAUCASIAN,20
Classic Stage Company,2006-2007,AFRICAN AMERICAN,1
Classic Stage Company,2006-2007,LATINO,1
Classic Stage Company,2006-2007,ASIAN AMERICAN,1
Classic Stage Company,2006-2007,OTHER,0
Classic Stage Company,2007-2008,CAUCASIAN,32
Classic Stage Company,2007-2008,AFRICAN AMERICAN,3
Classic Stage Company,2007-2008,LATINO,1
Classic Stage Company,2007-2008,ASIAN AMERICAN,1
Classic Stage Company,2007-2008,OTHER,3
Classic Stage Company,2008-2009,CAUCASIAN,32
Classic Stage Company,2008-2009,AFRICAN AMERICAN,3
Classic Stage Company,2008-2009,LATINO,0
Classic Stage Company,2008-2009,ASIAN AMERICAN,4
Classic Stage Company,2008-2009,OTHER,1
Classic Stage Company,2009-2010,CAUCASIAN,23
Classic Stage Company,2009-2010,AFRICAN AMERICAN,2
Classic Stage Company,2009-2010,LATINO,3
Classic Stage Company,2009-2010,ASIAN AMERICAN,0
Classic Stage Company,2009-2010,OTHER,0
Classic Stage Company,2010-2011,CAUCASIAN,49
Classic Stage Company,2010-2011,AFRICAN AMERICAN,2
Classic Stage Company,2010-2011,LATINO,0
Classic Stage Company,2010-2011,ASIAN AMERICAN,1
Classic Stage Company,2010-2011,OTHER,0
Classic Stage Company,2011-2012,CAUCASIAN,34
Classic Stage Company,2011-2012,AFRICAN AMERICAN,0
Classic Stage Company,2011-2012,LATINO,0
Classic Stage Company,2011-2012,ASIAN AMERICAN,1
Classic Stage Company,2011-2012,OTHER,0
Classic Stage Company,2012-2013,CAUCASIAN,29
