theater,show
Signature Theatre,AND I AND SILENCE
Signature Theatre,THE LIQUID PAIN
Signature Theatre,THE WAYSIDE MOTOR IN
Signature Theatre,WHAT I DID LAST SUMMER 
Signature Theatre,OUR LADY OF KIBEHO 
Signature Theatre,A PARTICLE OF DREAD (OEDIPUS VARIATIONS)
Signature Theatre,BIG LOVE
Signature Theatre,THE PAINTED ROCKS AT REVOLVER CREEK
Public Theater,THE FORTRESS OF SOLITUDE
Public Theater,FATHER COMES HOMES FROM THE WARS PARTS 1, 2 & 3
Public Theater,STRAIGHT WHITE MEN
Public Theater,PERICLES (PRINCE OF TYRE)
Public Theater,HAMILTON 
Public Theater,BUZZER
Public Theater,GROUNDED
Public Theater,TOAST
Public Theater,THE SOUND AND THE FURY 
Public Theater,MACBETH 
