Age,State,Number
14 to 17 Years,AK,42153
14 to 17 Years,AL,259034
14 to 17 Years,AR,157204
14 to 17 Years,AZ,362642
14 to 17 Years,CA,2159981
14 to 17 Years,CO,261701
14 to 17 Years,CT,196918
14 to 17 Years,DC,25225
14 to 17 Years,DE,47414
14 to 17 Years,FL,925060
14 to 17 Years,GA,557860
14 to 17 Years,HI,64011
14 to 17 Years,IA,165883
14 to 17 Years,ID,89702
14 to 17 Years,IL,725973
14 to 17 Years,IN,361393
14 to 17 Years,KS,155822
14 to 17 Years,KY,229927
14 to 17 Years,LA,254916
14 to 17 Years,MA,341713
14 to 17 Years,MD,316873
14 to 17 Years,ME,69752
14 to 17 Years,MI,585169
14 to 17 Years,MN,289371
14 to 17 Years,MO,331543
14 to 17 Years,MS,174405
14 to 17 Years,MT,53156
14 to 17 Years,NC,492964
14 to 17 Years,ND,33794
14 to 17 Years,NE,99638
14 to 17 Years,NH,73826
14 to 17 Years,NJ,478505
14 to 17 Years,NM,112801
14 to 17 Years,NV,142976
14 to 17 Years,NY,1058031
14 to 17 Years,OH,646135
14 to 17 Years,OK,200562
14 to 17 Years,OR,199925
14 to 17 Years,PA,679201
14 to 17 Years,RI,56198
14 to 17 Years,SC,245400
14 to 17 Years,SD,45305
14 to 17 Years,TN,336312
14 to 17 Years,TX,1420518
14 to 17 Years,UT,167685
14 to 17 Years,VA,413004
14 to 17 Years,VT,33757
14 to 17 Years,WA,357782
14 to 17 Years,WI,311849
14 to 17 Years,WV,91074
14 to 17 Years,WY,29314
18 to 24 Years,AK,74257
18 to 24 Years,AL,450818
18 to 24 Years,AR,264160
18 to 24 Years,AZ,601943
18 to 24 Years,CA,3853788
18 to 24 Years,CO,466194
18 to 24 Years,CT,325110
18 to 24 Years,DC,75569
18 to 24 Years,DE,84464
18 to 24 Years,FL,1607297
18 to 24 Years,GA,919876
18 to 24 Years,HI,124834
18 to 24 Years,IA,306398
18 to 24 Years,ID,147606
18 to 24 Years,IL,1311479
18 to 24 Years,IN,605863
18 to 24 Years,KS,293114
18 to 24 Years,KY,381394
18 to 24 Years,LA,471275
18 to 24 Years,MA,665879
18 to 24 Years,MD,543470
18 to 24 Years,ME,112682
18 to 24 Years,MI,974480
18 to 24 Years,MN,507289
18 to 24 Years,MO,560463
18 to 24 Years,MS,305964
18 to 24 Years,MT,95232
18 to 24 Years,NC,883397
18 to 24 Years,ND,82629
18 to 24 Years,NE,186657
18 to 24 Years,NH,119114
18 to 24 Years,NJ,769321
18 to 24 Years,NM,203097
18 to 24 Years,NV,212379
18 to 24 Years,NY,1999120
18 to 24 Years,OH,1081734
18 to 24 Years,OK,369916
18 to 24 Years,OR,338162
18 to 24 Years,PA,1203944
18 to 24 Years,RI,114502
18 to 24 Years,SC,438147
18 to 24 Years,SD,82869
18 to 24 Years,TN,550612
18 to 24 Years,TX,2454721
18 to 24 Years,UT,329585
18 to 24 Years,VA,768475
18 to 24 Years,VT,61679
18 to 24 Years,WA,610378
18 to 24 Years,WI,553914
18 to 24 Years,WV,157989
18 to 24 Years,WY,53980
25 to 44 Years,AK,198724
25 to 44 Years,AL,1231572
25 to 44 Years,AR,754420
25 to 44 Years,AZ,1804762
25 to 44 Years,CA,10604510
25 to 44 Years,CO,1464939
25 to 44 Years,CT,916955
25 to 44 Years,DC,193557
25 to 44 Years,DE,230183
25 to 44 Years,FL,4782119
25 to 44 Years,GA,2846985
25 to 44 Years,HI,356237
25 to 44 Years,IA,750505
25 to 44 Years,ID,406247
25 to 44 Years,IL,3596343
25 to 44 Years,IN,1724528
25 to 44 Years,KS,728166
25 to 44 Years,KY,1179637
25 to 44 Years,LA,1162463
25 to 44 Years,MA,1782449
25 to 44 Years,MD,1556225
25 to 44 Years,ME,331809
25 to 44 Years,MI,2628322
25 to 44 Years,MN,1416063
25 to 44 Years,MO,1569626
25 to 44 Years,MS,764203
25 to 44 Years,MT,236297
25 to 44 Years,NC,2575603
25 to 44 Years,ND,154913
25 to 44 Years,NE,457177
25 to 44 Years,NH,345109
25 to 44 Years,NJ,2379649
25 to 44 Years,NM,517154
25 to 44 Years,NV,769913
25 to 44 Years,NY,5355235
25 to 44 Years,OH,3019147
25 to 44 Years,OK,957085
25 to 44 Years,OR,1044056
25 to 44 Years,PA,3157759
25 to 44 Years,RI,277779
25 to 44 Years,SC,1193112
25 to 44 Years,SD,196738
25 to 44 Years,TN,1719433
