theater,ethnicity,actors
Atlantic Theatre,African American,24
Atlantic Theatre,Asian American,9
Atlantic Theatre,Caucasian,269
Atlantic Theatre,Latino,8
Atlantic Theatre,Other,0
Classic Stage Company,African American,11
Classic Stage Company,Asian American,8
Classic Stage Company,Caucasian,219
Classic Stage Company,Latino,5
Classic Stage Company,Other,4
Lincoln Center,African American,
Lincoln Center,Asian American,
Lincoln Center,Caucasian,
Lincoln Center,Latino,
Lincoln Center,Other,
MCC Theater,African American,
MCC Theater,Asian American,
MCC Theater,Caucasian,
MCC Theater,Latino,
MCC Theater,Other,
MTC,African American,12
MTC,Asian American,1
MTC,Caucasian,94
MTC,Latino,3
MTC,Other,1
New York Theatre Workshop,African American,16
New York Theatre Workshop,Asian American,3
New York Theatre Workshop,Caucasian,91
New York Theatre Workshop,Latino,4
New York Theatre Workshop,Other,11
Playwrights Horizons,African American,23
Playwrights Horizons,Asian American,1
Playwrights Horizons,Caucasian,161
Playwrights Horizons,Latino,2
Playwrights Horizons,Other,0
Primary Stages,African American,8
Primary Stages,Asian American,3
Primary Stages,Caucasian,73
Primary Stages,Latino,3
Primary Stages,Other,0
Public Theatre,African American,83
Public Theatre,Asian American,26
Public Theatre,Caucasian,311
Public Theatre,Latino,19
Public Theatre,Other,19
Roundabout Theatre,African American,33
Roundabout Theatre,Asian American,4
Roundabout Theatre,Caucasian,377
Roundabout Theatre,Latino,4
Roundabout Theatre,Other,
Second Stage,African American,15
Second Stage,Asian American,10
Second Stage,Caucasian,132
Second Stage,Latino,8
Second Stage,Other,
Signature Theatre,African American,56
Signature Theatre,Asian American,8
Signature Theatre,Caucasian,46
Signature Theatre,Latino,3
Signature Theatre,Other,3
The New Group,African American,4
The New Group,Asian American,11
The New Group,Caucasian,115
The New Group,Latino,3
The New Group,Other,2
Theatre for a New Audience,African American,32
Theatre for a New Audience,Asian American,3
Theatre for a New Audience,Caucasian,119
Theatre for a New Audience,Latino,3
Theatre for a New Audience,Other,
Vineyard Theatre,African American,24
Vineyard Theatre,Asian American,3
Vineyard Theatre,Caucasian,81
Vineyard Theatre,Latino,3
Vineyard Theatre,Other,
York Theatre Company,African American,10
York Theatre Company,Asian American,2
York Theatre Company,Caucasian,62
York Theatre Company,Latino,0
York Theatre Company,Other,
