theater,ethnicity,actors
Atlantic Theatre,AFRICAN AMERICAN,24
Atlantic Theatre,ASIAN AMERICAN,9
Atlantic Theatre,CAUCASIAN,269
Atlantic Theatre,LATINO,8
Atlantic Theatre,OTHER,0
Classic Stage Company,AFRICAN AMERICAN,11
Classic Stage Company,ASIAN AMERICAN,8
Classic Stage Company,CAUCASIAN,219
Classic Stage Company,LATINO,5
Classic Stage Company,OTHER,4
Lincoln Center,AFRICAN AMERICAN,
Lincoln Center,ASIAN AMERICAN,
Lincoln Center,CAUCASIAN,
Lincoln Center,LATINO,
Lincoln Center,OTHER,
MCC Theater,AFRICAN AMERICAN,
MCC Theater,ASIAN AMERICAN,
MCC Theater,CAUCASIAN,
MCC Theater,LATINO,
MCC Theater,OTHER,
MTC,AFRICAN AMERICAN,12
MTC,ASIAN AMERICAN,1
MTC,CAUCASIAN,94
MTC,LATINO,3
MTC,OTHER,1
New York Theatre Workshop,AFRICAN AMERICAN,16
New York Theatre Workshop,ASIAN AMERICAN,3
New York Theatre Workshop,CAUCASIAN,91
New York Theatre Workshop,LATINO,4
New York Theatre Workshop,OTHER,11
Playwrights Horizons,AFRICAN AMERICAN,23
Playwrights Horizons,ASIAN AMERICAN,1
Playwrights Horizons,CAUCASIAN,161
Playwrights Horizons,LATINO,2
Playwrights Horizons,OTHER,0
Primary Stages,AFRICAN AMERICAN,8
Primary Stages,ASIAN AMERICAN,3
Primary Stages,CAUCASIAN,73
Primary Stages,LATINO,3
Primary Stages,OTHER,0
Public Theatre,AFRICAN AMERICAN,83
Public Theatre,ASIAN AMERICAN,26
Public Theatre,CAUCASIAN,311
Public Theatre,LATINO,19
Public Theatre,OTHER,19
Roundabout Theatre,AFRICAN AMERICAN,33
Roundabout Theatre,ASIAN AMERICAN,4
Roundabout Theatre,CAUCASIAN,377
Roundabout Theatre,LATINO,4
Roundabout Theatre,OTHER,
Second Stage,AFRICAN AMERICAN,15
Second Stage,ASIAN AMERICAN,10
Second Stage,CAUCASIAN,132
Second Stage,LATINO,8
Second Stage,OTHER,
Signature Theatre,AFRICAN AMERICAN,56
Signature Theatre,ASIAN AMERICAN,8
Signature Theatre,CAUCASIAN,46
Signature Theatre,LATINO,3
Signature Theatre,OTHER,3
The New Group,AFRICAN AMERICAN,4
The New Group,ASIAN AMERICAN,11
The New Group,CAUCASIAN,115
The New Group,LATINO,3
The New Group,OTHER,2
Theatre for a New Audience,AFRICAN AMERICAN,32
Theatre for a New Audience,ASIAN AMERICAN,3
Theatre for a New Audience,CAUCASIAN,119
Theatre for a New Audience,LATINO,3
Theatre for a New Audience,OTHER,
Vineyard Theatre,AFRICAN AMERICAN,24
Vineyard Theatre,ASIAN AMERICAN,3
Vineyard Theatre,CAUCASIAN,81
Vineyard Theatre,LATINO,3
Vineyard Theatre,OTHER,
York Theatre Company,AFRICAN AMERICAN,10
York Theatre Company,ASIAN AMERICAN,2
York Theatre Company,CAUCASIAN,62
York Theatre Company,LATINO,0
York Theatre Company,OTHER,
