COUNTY,GEOID,REGION,CALLED?,PRIOR KNOWN INCIDENCE,INCIDENCE POST-CALL,NOTES
"Fayette, TX",48149,Central Texas,y,1,,"public library - 979-968-3765 Roxanne Johnson --> local historian. she might be able to give more insight. There's a building in the mullens-prairie area. they have a picture of a two story shack. sheriff will lacime. 1920s, 30s is when he startted. 

Librarian says that Carolyn Heinson is a local historian, and she would know. Email her! caheinsohn@hotmail.com. Tell her Roxanne sent me. 

Huntsville has a prison museum. Walker county has a historical commission that may be able to help me."
"Falls, TX",48145,Central Texas,y,,0,I spoke with Sharon. She said that she did a lot of research into convict leasting when she moved there and didn't see any mentions of it happening. 
"Williamson, TX",48491,Central Texas,y,,,"she sends me to the historic courthouse. THe courthouse sends me to the judge or HR department. They send me to operator, who gives me the number to the museum: 512-943-1670.  i call them and they say to semail kconrad@williamsonmuseum.org and her name is Kathryn Conrad. "
"Burnet, TX",48053,Central Texas,y,,1,"Gave me the number to the Burnett county historical commission - 512-715-8249. called them again on 10/19, no answer. I call back on 10/25, and I speak to a man who tells me he has no idea and its his wife who is on the historical commission. he tells me to call back at 4:30 CT, which is 5:30PM ET. 

Update on 12/6: I finally get the answer I'm looking for when I find this academic article which clearly says that there was a lease on a quarry in Burnet, Texas: https://jstor.org/stable/40802015. It didn't come from calling or talking to anyone, but it counts. Note also that the men caught up in it are Mexican.  I put a 1 in the Incidence Post-Call column, but I'm not exactly sure how to categorize this one. 

Some other difficult but useful bits from the article: Scottish men were caught up in the lease, too! Even though: ""Texas prison population increased by approximately 700 percent between 1870 and 1912. Black Texans made up one-fifth of the statewide population across the lease era, but were three-fifths of its state prisoners. A typical prisoner in Texas's lease era was a young, black, illiterate male serving a first sentence for burglary or theft, and, according to historian David Oshinsky, ""his trial took place without a lawyer, in a matter of minutes, before an all-white jury prone to discount 'nigger testimony' as a pack of lies."" And the quarry was full of mostly White and Mexican convicts, because it was seen as better than railroads or plantations. This is a really good source, link again: "
"Freestone, TX",48161,Central Texas,y,,0?,"she says to call the fairfield public library. i look up their phone number, its (903) 389-3574. i call them, they say to call the museum. ask for linda mullen or patty pratt. their phone number is (903) 389-3738. i call but no one answers (10/19).

i also learn from the library that on the website they have freestone county newspapers archived back to the 1890s. Librarian says  that I could dig around on their website for more information as well. 

I call back on 10/25 and have a 15 minute long conversation with patricia pratt, who is in her 70s and gives me her whowl history. we find out that we're both from the same general parts of houston, and she's the first person i give my full name to (it feels weird not to when she asks after she's shared so much with me). after we talk for awhile, she tells me that she thinks there wasn't convict leasing in freestone because there wasn't a big prison there, just a small jail. 

i push and ask about agriculture and she tells me that cotton was a big crop there after 1836 (when TX became a republic).she also says that the county definitely had slave labor pre-the emancipation proclamation. but she still thinks that the lack of a prison means that it likely wasn't there. She also says there wasn't a convict cemetary for a fact. but she's going to dig around and ask and do some research to see if there was any convict leasing, and she takes my number and says that she'll call back once she's done that. 

patricia feels to me like someone who wouldn't be trying to hide anything. she is one of many people to mention huntsville's prison, and i learn the unsettling fact that in the 19th century they stopped hanging people there and instead executed folks by an electric chair they called ""ol sparky."" "
"Brazos, TX",48041,Central Texas,y,,,"She says to call the district clerk (instead of them, the county clerk) at 979.361.4230. i have a nice talk with victoria over there who says that she will make a few phone calls and get back to me. "
"San Saba, TX",48411,Central Texas,y,,,She gives me the library phone number: 3253723079. I call the library and they say they don't know (they haven't heard of convict leasing). She recommends that I call a bigger library who might have more resources. 
"Hill, TX",48217,Central Texas,y,,,"She says this is a district clerk question and transfers me to them. They say I can request the information through their website and someone will research it for me. The website is hillcountydc.com, I fill out a request so hopefully I'll hear back from them soon. They call back on 12/7 and say that I need to call the Hill County Jail. "
"San Jacinto, TX",48407,East Texas,y,,,"She said to call the same number but with the last four digits of 2091. I called them and the lady told me that  Dale is the person who would know, and that she'll call me back after getting in touch with him. Also told me that I should have a name attached to the number. "
"Wood, TX",48499,East Texas,y,1,,"Connected me to the library. The phone number is 9037634191. The librarian has a british accent and says: ""Absolutely no idea."" She connects me to someone from the geneology group: 903-497-6657. His name is Dee-son Hunt. He says he does not know. He says to look for Wood County Historical Commision. "
"Panola, TX",48365,East Texas,y,,0,"Transferred to judge's secretary. waiting for him to call back. I receive a call back the next day: Panola County has never been involved in it. This is one of the first sure responses! He's on the historical commission and says that in all of his research he is sure that Panola was never involved.
"
"Hopkins, TX",48223,East Texas,y,,,"connects me to genealogy: 903-885-8523. no answer, so i'll call back another day. "
"Rusk, TX",48401,East Texas,y,,,"she says to try the historical commission or the library. historical commission phone number i find online, it's (903) 657-2261. They con't answer when I call, but I find an email address i can follow up with: sjoans@aol.com"
"Bowie, TX",48037,East Texas,y,1,,she says she doesn't know but she'll connect me to someone who might. i don't get a response from them. i'm not even sure who to call back...
"San Augustine, TX",48405,East Texas,y,,0?,"she says to call the historical building at the old jail. but then she says that the office doesnt have a phone number. Instead she gives me the phone number to Neil Murphy, the man who runs the historical society. His number: 936-275-9033. Someone else answers his phone and tells me to call 936-275-6986. He has never heard of convict leasing before. He encourages me to come and visit the library across from First Baptist Church. I look it up on Google Maps and find that the phone number is +19362755367. So I give them a call. They tell me to call back tomorrow, when Mary Francis the geneologist will be there and I can ask her. On 12/6 she calls me back and says that all she can find are German prisoners who were there in 1944-1946, and they weren't leased out they worked in the forest service in a lot of the surrounding areas. "
"Delta, TX",48119,East Texas,y,,,i call the county clerk and have to dial the extension 201 but get no response.
"Orange, TX",48407,East Texas,y,,,"she gives me a phone number for the heritage district: 4098865385. they tell me they can look into dr. williams' research, and they will call me back."
"Somervell, TX",48425,North Texas,y,,,"The library's phone number: 2548974582 

They don't know. they have the genealogy and volunteers that come on monday and wednesday. there should be someone there tomorrow. a lady comes in about 10am and stays until about 12 or 1. another lady comes in from about 1 until about 5. the lady who is the head of it: susan bruise. 2548979130. "
"Rockwall, TX",48397,North Texas,y,,,no response
"Wilbarger, TX",48487,North Texas,y,,,She says that she doesn't know how they could even verify this. She said it's not something she's heard of but she's only been working there about three years and she doesn't think that they can go far back enough to verify. 
"Johnson, TX",48251,North Texas,y,,,extension: 6970 for genealogy i think? she says that they have convicts who come out to the courthuose and put up the christmas decorations now. they do work now and get time off their parole. she gives me the sherif's office number: 817-556-6060. she doesn't even know who to refer me to. 
"Fannin, TX",48147,North Texas,y,,0,"she tells me to call bonham historical commission. i find their number at 903-583-5947 and have a really nice talk with larry standley about fannin county history. he tells me 1.) that he has lived in fannin since the 1960s and his great great great grandfather lived in fannin back in 1836 when texas was still part of mexico. he's been on the historical commission for a long time and he's never heard a thing about convict leasing. 2.) fannin county was one of the counties that voted against secession, so its very likely that fannin didn't have it. I wonder if i sho"
"Wise, TX",48497,North Texas,y,,,"she doesn't know, gives me a number for the historical society at 940 627 5586. i call them on 10/25 and get no answer, but i leave a message with my name and phone number.  On 12/1 they call me back and tell me that I should email them at wisemuseum@embarqmail.com"
"Clay, TX",48077,North Texas,y,,,"She says to call the sheriff's department, and also says that she has no idea. She takes my phone number and says she'll ask the county clerk to give me a call tomorrow when they come back in town but if they don't call it's because they don't know the answer. "
"Archer, TX",48009,North Texas,y,,,"The first person says she is going to connect me to the clerk bc she doesn't know what CL is, and then she accidentally hangs up on me. The county clerk says its the first time she has ever heard this question. she says that they have a library and a young woman who is trying to get the musuem back up and running. She gives me that person's name and phone number: Callie Lawson 9405744569. Callie doesn't answer when I call. "
"Navarro, TX",48349,North Texas,y,,,"I get a pre-recorded ansering machine that gives me a confusing list of options, so I decide to just look up the Corsicana public library and give them a call directly at (903) 654-4810. They connect me to Dana over at genealogy, who tells me that I can go to newspaper.com and find stories about a farm in Corsicana where convicts would work at to pay their bail. I go to newspaper.com and find this: https://www.newspapers.com/image/12001967/?clipping_id=18855427&fcfToken=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJmcmVlLXZpZXctaWQiOjEyMDAxOTY3LCJpYXQiOjE3MDE4ODI4NTksImV4cCI6MTcwMTk2OTI1OX0.4-oY_W0rXSEx9NfYRCXRXU0xyUm6M9nrebOXa_h4RtE It's talking about prison labor, but I'm not sure that it's actually convict leasing as a opposed to just regular prison labor. I'll run it by Patrick."
"Lipscomb, TX",48295,Panhandle,y,,,Told me to call Wolf Creek heritage museum in lipscomb (lip-scumb). I called them at 806-653-2131 and didn't get a response. 
"Wheeler, TX",48483,Panhandle,y,,,"""I've never heard of that, so it must not have been a thing."" "
"Childress, TX",48075,Panhandle,y,,,"She had no idea, so she directed me to call the local jack of all trades (who I believe also works for the county?) named Greg Buckley. His phone number is 9409376158.  "
"Parmer, TX",48369,Panhandle,y,,,"she has no idea. transfers me to the parmer county judges office. there is no one there, so they don't call back. "
"Sherman, TX",48421,Panhandle,y,,0,"judge's office. 806-366-2021 judge carter. the judge says, very definitively, that they never had convict leasing there. i have a really lovely conversation with the woman who works there. i learn that they have a history museum and that the county is pretty much just generational agriculture. they grow cotton, corn, sorghum, etc. 

when she tells me that they grew cotton and corn, i take pause. these are crops that would almost certainly have had slave labor, no? and sherman county is right at the top of the state, below the oklahoma panhandle, which only exists because texas wasn't allowed to have slaves in that area. basically: can i trust what any of these people are saying? why do i believe the judge? I do so much to make it easy for folks to talk about this, but in doing so am i also making it easy for them to not talk about it? 
"
"Gray, TX",48179,Panhandle,y,,,"i call on 10/25. the woman i speak with goes to check her historical book and says that she doesn't see any mention of it. but she also suggests that i call the local musuem, which is the white deer land musuem - 806-669-8041. I call them on 10/25 and don't get any response."
