time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-09-20T14:44:45.045Z,61.1759,-146.4863,4.5,1.6,ml,,,,0.79,ak,ak16871415,2017-09-20T14:57:17.749Z,"8km NW of Valdez, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-09-20T14:42:08.120Z,-17.9346,-114.1207,10,5,mb,,276,39.455,0.64,us,us2000arvu,2017-09-20T14:59:43.040Z,"Southern East Pacific Rise",earthquake,23.8,2,0.146,15,reviewed,us,us
2017-09-20T14:41:08.820Z,33.9295,-117.5145,2.22,1.55,ml,42,35,0.08551,0.16,ci,ci38007016,2017-09-20T14:44:44.739Z,"3km E of Norco, CA",earthquake,0.19,0.35,0.162,26,automatic,ci,ci
2017-09-20T14:29:56.770Z,23.2931,121.7572,22.03,5.3,mww,,36,0.434,1.06,us,us2000arvi,2017-09-20T15:14:26.741Z,"77km SSE of Hualian, Taiwan",earthquake,5.2,4.7,0.073,18,reviewed,us,us
2017-09-20T14:29:05.650Z,40.251667,-124.1708298,8.78,2.99,md,13,167,0.04504,0.12,nc,nc72895726,2017-09-20T14:52:10.749Z,"28km S of Rio Dell, California",earthquake,0.48,0.66,0.09,12,automatic,nc,nc
2017-09-20T13:59:04.130Z,67.3938,-156.7207,0,2,ml,,,,0.59,ak,ak16870720,2017-09-20T14:06:47.923Z,"54km N of Kobuk, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-09-20T13:48:56.135Z,61.7316,-150.3173,37.7,1.8,ml,,,,0.63,ak,ak16870653,2017-09-20T13:57:45.627Z,"14km W of Willow, Alaska",earthquake,,0.8,,,automatic,ak,ak
2017-09-20T13:39:13.140Z,34.3248333,-116.4536667,9.66,1.47,ml,37,71,0.06761,0.2,ci,ci38006992,2017-09-20T13:50:18.090Z,"24km N of Yucca Valley, CA",earthquake,0.32,0.59,0.13,28,reviewed,ci,ci
2017-09-20T12:25:55.700Z,1.0854,132.5848,36.12,5,mb,,109,3.991,1.03,us,us2000arkq,2017-09-20T12:42:22.040Z,"263km NE of Sorong, Indonesia",earthquake,9.6,5.9,0.088,41,reviewed,us,us
2017-09-20T12:25:39.650Z,44.8061667,-111.0781667,7.81,1.05,md,12,180,0.02251,0.13,uu,uu60248167,2017-09-20T15:12:47.210Z,"16km N of West Yellowstone, Montana",earthquake,0.75,0.5,0.295,9,reviewed,uu,uu
2017-09-20T12:24:15.780Z,42.6105,-111.4578,7.92,2.7,ml,,53,0.025,0.28,us,us2000arkf,2017-09-20T14:25:35.745Z,"12km ESE of Soda Springs, Idaho",earthquake,1.4,1.3,0.062,34,reviewed,us,us
2017-09-20T12:24:12.030Z,19.4331665,-155.6078339,2.22,2.09,ml,36,45,0.01918,0.36,hv,hv61914931,2017-09-20T12:29:56.680Z,"27km E of Honaunau-Napoopoo, Hawaii",earthquake,0.47,0.67,0.35,6,automatic,hv,hv
2017-09-20T12:23:13.597Z,61.3568,-150.4944,43.8,1.2,ml,,,,0.37,ak,ak16869355,2017-09-20T12:26:30.557Z,"34km WSW of Big Lake, Alaska",earthquake,,0.6,,,automatic,ak,ak
2017-09-20T12:18:51.140Z,33.4481667,-116.5605,9.42,0.76,ml,29,81,0.05804,0.11,ci,ci38006944,2017-09-20T13:50:25.240Z,"16km SE of Anza, CA",earthquake,0.18,0.33,0.169,25,reviewed,ci,ci
2017-09-20T12:18:29.060Z,38.0977,-116.4895,3.1,1.3,ml,5,301.88,0.945,,nn,nn00606072,2017-09-20T12:20:36.206Z,"14km SW of Warm Springs, Nevada",earthquake,,,,,automatic,nn,nn
2017-09-20T11:56:55.083Z,64.4655,-149.4163,16.2,1,ml,,,,0.31,ak,ak16869274,2017-09-20T12:08:17.450Z,"19km SW of North Nenana, Alaska",earthquake,,0.1,,,automatic,ak,ak
2017-09-20T11:42:15.300Z,33.1573333,-116.5405,15.16,1.03,ml,39,38,0.08995,0.2,ci,ci38006936,2017-09-20T11:46:00.326Z,"10km NNE of Julian, CA",earthquake,0.31,0.58,0.12,28,automatic,ci,ci
2017-09-20T11:35:43.420Z,19.4108334,-155.2751617,10.08,2.38,md,32,35,0.01083,0.18,hv,hv61914886,2017-09-20T11:39:11.930Z,"4km WSW of Volcano, Hawaii",earthquake,0.39,0.49,0.16,19,automatic,hv,hv
2017-09-20T11:25:08.900Z,33.5891667,-116.7218333,11.49,0.31,ml,18,69,0.02699,0.08,ci,ci38006928,2017-09-20T13:48:05.264Z,"6km NW of Anza, CA",earthquake,0.25,0.33,0.06,9,reviewed,ci,ci
2017-09-20T11:22:20.840Z,33.5041667,-116.7888333,4.84,0.34,ml,17,75,0.07472,0.12,ci,ci38006920,2017-09-20T13:48:15.957Z,"10km NE of Aguanga, CA",earthquake,0.27,0.97,0.184,10,reviewed,ci,ci
2017-09-20T11:19:23.687Z,64.7559,-148.9724,4.5,0.5,ml,,,,0.44,ak,ak16868639,2017-09-20T11:26:10.462Z,"20km NNE of North Nenana, Alaska",earthquake,,1.6,,,automatic,ak,ak
2017-09-20T11:05:15.890Z,36.2393333,-89.502,7.22,1.74,md,17,60,0.01815,0.03,nm,nm60207096,2017-09-20T13:25:35.510Z,"2km SSW of Ridgely, Tennessee",earthquake,0.45,0.7,0.165,12,reviewed,nm,nm
2017-09-20T10:50:07.299Z,59.8855,-136.7917,0.1,1.8,ml,,,,0.99,ak,ak16868555,2017-09-20T10:53:25.004Z,"95km WNW of Skagway, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-09-20T10:39:28.940Z,15.2723,-93.4191,57.48,4.7,mb,,177,1.85,1.12,us,us2000arj1,2017-09-20T10:56:56.040Z,"51km SSW of Pijijiapan, Mexico",earthquake,10.9,2.8,0.037,217,reviewed,us,us
2017-09-20T10:31:10.750Z,35.9478333,-117.3678333,4.77,1.06,ml,6,276,0.1474,0.37,ci,ci38006912,2017-09-20T10:34:49.436Z,"20km N of Searles Valley, CA",earthquake,2.49,31.61,0.256,6,automatic,ci,ci
2017-09-20T10:28:21.420Z,33.3841667,-116.388,12.04,0.86,ml,22,148,0.1182,0.2,ci,ci38006904,2017-09-20T13:48:18.319Z,"14km N of Borrego Springs, CA",earthquake,0.4,1.04,0.131,19,reviewed,ci,ci
2017-09-20T10:25:16.072Z,61.7581,-151.9376,102.6,1.8,ml,,,,0.48,ak,ak16868496,2017-09-20T10:31:11.451Z,"100km W of Willow, Alaska",earthquake,,0.9,,,automatic,ak,ak
2017-09-20T10:24:51.967Z,61.9639,-149.2594,30.7,1.7,ml,,,,1.06,ak,ak16868494,2017-09-20T10:29:00.865Z,"24km N of Fishhook, Alaska",earthquake,,0.2,,,automatic,ak,ak
